uuid,timestamp,longitude,tag,latitude,type
181792856256929,1395307511,15.163234710699999,iuu_18179285,37.5611724854,vessel
181792856256929,1395308346,15.163223266599999,iuu_18179285,37.561180114700001,vessel
181792856256929,1395309283,15.163227081300001,iuu_18179285,37.561187744100003,vessel
181792856256929,1395310441,15.163218498199999,iuu_18179285,37.561195373499999,vessel
181792856256929,1395311182,15.163189888,iuu_18179285,37.561218261699999,vessel
181792856256929,1396948186,15.1631784439,iuu_18179285,37.561206817600002,vessel
181792856256929,1396949004,15.163187026999999,iuu_18179285,37.561206817600002,vessel
181792856256929,1396949754,15.182711601299999,iuu_18179285,37.555187225300003,vessel
181792856256929,1396950655,15.219704628000001,iuu_18179285,37.533912658699997,vessel
181792856256929,1396951527,15.2519254684,iuu_18179285,37.509681701700003,vessel
181792856256929,1396952343,15.281539917,iuu_18179285,37.484851837199997,vessel
181792856256929,1396953158,15.3137512207,iuu_18179285,37.461894989000001,vessel
181792856256929,1396953963,15.3448419571,iuu_18179285,37.439300537100003,vessel
181792856256929,1396954684,15.372324943500001,iuu_18179285,37.419193267799997,vessel
181792856256929,1396955495,15.4032030106,iuu_18179285,37.397026062000002,vessel
181792856256929,1396956229,15.4313364029,iuu_18179285,37.377403259300003,vessel
181792856256929,1396957006,15.461346626299999,iuu_18179285,37.356185913099999,vessel
181792856256929,1396957728,15.489107131999999,iuu_18179285,37.336967468300003,vessel
181792856256929,1396958504,15.5186386108,iuu_18179285,37.317779541,vessel
181792856256929,1396959363,15.5523586273,iuu_18179285,37.297599792500002,vessel
181792856256929,1396960314,15.5891704559,iuu_18179285,37.273380279500003,vessel
181792856256929,1396961036,15.6168813705,iuu_18179285,37.253845214800002,vessel
181792856256929,1397010105,17.709749221799999,iuu_18179285,36.331619262700002,vessel
181792856256929,1397010827,17.743139267,iuu_18179285,36.3196868896,vessel
181792856256929,1397011775,17.787197113000001,iuu_18179285,36.304275512700002,vessel
181792856256929,1397394825,25.072830200199999,iuu_18179285,34.594638824500002,vessel
181792856256929,1397413185,25.8344287872,iuu_18179285,34.639545440699997,vessel
181792856256929,1397413905,25.860717773400001,iuu_18179285,34.653514862100003,vessel
181792856256929,1397557852,25.199792861900001,iuu_18179285,34.388301849400001,vessel
181792856256929,1397578284,25.718523025500001,iuu_18179285,34.583232879599997,vessel
181792856256929,1397581136,25.840282440199999,iuu_18179285,34.582519531199999,vessel
181792856256929,1397728273,25.459672927900002,iuu_18179285,34.320781707800002,vessel
181792856256929,1397752406,25.917167663600001,iuu_18179285,34.469882965099998,vessel
181792856256929,1397901173,25.791141509999999,iuu_18179285,34.373882293699999,vessel
